"SPECIES_CODE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SOURCE_DOCUMENT","YEAR_START","YEAR_END","YEAR_PUBLISHED","YEAR_INTERNAL","PACFIN_SPID_CODE","COMMENTS","FISH_TICKET_REPORT_NAMES"
"540","trout, steelhead","Oncorhynchus mykiss","AFS Fishes, 5th ed, 1991","1969","","1969","","","","Steelhead       "
"541","trout, rainbow","Oncorhynchus mykiss","AFS Fishes, 5th ed, 1991","1979","","1979","1999","","","Trout           "
"550","trout, lake","Salvelinus namaycush","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Trout           "
"555","trout, brook","Salvelinus fontinalis","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Trout           "
"560","trout, cutthroat (general)","Oncorhynchus clarki","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Trout           "
"374","Macroalgae Codes","reserved","","","","","","","",""
"375","Macroalgae Codes","reserved","","","","","","","",""
"376","Macroalgae Codes","reserved","","","","","","","",""
"377","Macroalgae Codes","reserved","","","","","","","",""
"378","Macroalgae Codes","reserved","","","","","","","",""
"379","Macroalgae Codes","reserved","","","","","","","",""
"380","Macroalgae Codes","reserved","","","","","","","",""
"400","salmon, roe (unknown species)","genus Oncorhynchus","AFS Fishes, 5th ed, 1991","1990","","1969","","","","Salmon Roe      "
"401","salmon roe, chinook","Oncorhynchus tshawytscha","AFS Fishes, 5th ed, 1991","1990","2003","1969","","","","Chnk Roe        "
"402","salmon roe, sockeye","Oncorhynchus nerka","AFS Fishes, 5th ed, 1991","1990","2003","1969","","","","Sock Roe        "
"403","salmon roe, coho","Oncorhynchus kisutch","AFS Fishes, 5th ed, 1991","1990","2003","1969","","","","Coho Roe        "
"404","salmon roe, pink","Oncorhynchus gorbuscha","AFS Fishes, 5th ed, 1991","1990","2003","1969","","","","Pink Roe        "
"405","salmon roe, chum","Oncorhynchus keta","AFS Fishes, 5th ed, 1991","1990","2003","1969","","","","Chum Roe        "
"410","salmon, chinook","Oncorhynchus tshawytscha","AFS Fishes, 5th ed, 1991","1969","","1969","","CHNK","","Chinook         "
"411","chinook, sm.","Oncorhynchus tshawytscha","AFS Fishes, 5th ed, 1991","1969","","1969","","CHNK","changed from salmon, chinook under 21 in. August 2009","Chnk (small)    "
"420","salmon, sockeye","Oncorhynchus nerka","AFS Fishes, 5th ed, 1991","1969","","1969","","SOCK","","Sockeye         "
"430","salmon, coho","Oncorhynchus kisutch","AFS Fishes, 5th ed, 1991","1969","","1969","","COHO","","Coho            "
"440","salmon, pink","Oncorhynchus gorbuscha","AFS Fishes, 5th ed, 1991","1969","","1969","","PINK","","Pink            "
"450","salmon, chum","Oncorhynchus keta","AFS Fishes, 5th ed, 1991","1969","","1969","","CHUM","","Chum            "
"490","salmon, groundfish bycatch","genus Oncorhynchus","AFS Fishes, 5th ed, 1991","1985","","1985","","USMN","",""
"500","pike, northern","Esox lucius","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","",""
"510","smelt, general","family Osmeridae","AFS Fishes, 5th ed, 1991","1969","","1969","1999","SMLT","",""
"329","Macroalgae Codes","reserved","","","","","","","",""
"330","Macroalgae Codes","reserved","","","","","","","",""
"331","Macroalgae Codes","reserved","","","","","","","",""
"332","Macroalgae Codes","reserved","","","","","","","",""
"333","Macroalgae Codes","reserved","","","","","","","",""
"334","Macroalgae Codes","reserved","","","","","","","",""
"335","Macroalgae Codes","reserved","","","","","","","",""
"336","Macroalgae Codes","reserved","","","","","","","",""
"337","Macroalgae Codes","reserved","","","","","","","",""
"338","Macroalgae Codes","reserved","","","","","","","",""
"339","Macroalgae Codes","reserved","","","","","","","",""
"340","Macroalgae Codes","reserved","","","","","","","",""
"341","Macroalgae Codes","reserved","","","","","","","",""
"342","Macroalgae Codes","reserved","","","","","","","",""
"343","Macroalgae Codes","reserved","","","","","","","",""
"344","Macroalgae Codes","reserved","","","","","","","",""
"345","Macroalgae Codes","reserved","","","","","","","",""
"346","Macroalgae Codes","reserved","","","","","","","",""
"347","Macroalgae Codes","reserved","","","","","","","",""
"348","Macroalgae Codes","reserved","","","","","","","",""
"349","Macroalgae Codes","reserved","","","","","","","",""
"350","Macroalgae Codes","reserved","","","","","","","",""
"351","Macroalgae Codes","reserved","","","","","","","",""
"352","Macroalgae Codes","reserved","","","","","","","",""
"353","Macroalgae Codes","reserved","","","","","","","",""
"354","Macroalgae Codes","reserved","","","","","","","",""
"703","skate, Alaskan","Bathyraja parmifera","ASF Fishes, 5th ed, 1991","2010","","","","","",""
"758","opah","Lampris guttatus","ASF Fishes, 5th ed, 1991","2010","","","2010","","",""
"704","skate, Aleutian","Bathyraja aleutica","AFS Fishes, 5th ed, 1991","2011","","2011","","","",""
"705","skate, Whiteblotched","Bathyraja maculata","AFS Fishes, 5th ed, 1991","2011","","2011","","","",""
"925","crab, Hanasaki (Spiny) king","Paralithodes brevipes","AFS Crustaceans, 1989","2014","","2014","","UKCR","",""
"202","Blk hagfish","Eptatretus deani","elandings","2016","","2016","","","",""
"111","S. cod","Eleginus gracilis","elandings","2015","","2015","","","",""
"280","sculpin, bigmouth","Hemitripterus bolini","Fishes of Alaska, 2002","2017","","","2017","BISL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"281","sculpin, great","Myoxocephalus polyacanthocephalus","Fishes of Alaska, 2002","2017","","","2017","GSCL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"282","sculpin, plain","Myoxocephalus jaok","Fishes of Alaska, 2002","2017","","","2017","PSCL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"283","sculpin, threaded","Gymnocanthus pistilliger","Fishes of Alaska, 2002","2017","","","2017","TSCS","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"284","sculpin, warty","Myoxocephalus verrucosus","Fishes of Alaska, 2002","2017","","","2017","WSCL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"285","sculpin, yellow irish lord","Hemilepidotus jordani","Fishes of Alaska, 2002","2017","","","2017","YSCL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"286","sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","Fishes of Alaska, 2002","2017","","","2017","OSUL","Internal codes added by NMFS to enable bycatch estimates for stock assessment",""
"716","lancetfish","Alepisauridae","","2017","","","","","",""
